gene_symbol	OFO1003B1	OFO1003B2	OFO1003O1	OFO1003O2	OFO1003V1	OFO1003V2	OFO1004B1	OFO1004B2	OFO1004O1	OFO1004O2	OFO1004V1	OFO1004V2	OFO1005B1	OFO1005B2	OFO1005O1	OFO1005O2	OFO1005V1	OFO1005V2
CHKB-AS1	59	50	22	23	27	23	35	44	28	38	18	18	35	22	12	29	30	29
MAPK8IP2	1775	1690	1289	1284	2019	1964	987	980	937	1197	1282	991	2202	2106	190	217	926	816
ARSA	427	343	173	204	205	258	345	313	230	299	219	162	311	299	104	134	187	157
SHANK3	955	887	595	649	1040	1142	594	607	633	774	786	613	946	937	197	246	638	543
ACR	6	6	17	15	19	19	4	6	6	8	10	8	15	14	0	3	5	9
RPL23AP82	309	313	245	273	274	282	246	224	224	264	240	149	420	346	178	200	264	239
RABL2B	987	1080	562	579	824	841	725	638	574	755	513	358	787	733	265	337	452	390
LOC102723448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHL1	383	398	78	75	766	793	726	778	728	986	485	349	2958	2520	81	60	1271	1049
CHL1-AS1	1	0	0	2	8	4	6	4	4	3	0	0	11	5	0	0	7	6
LINC01266	0	2	1	0	1	3	1	8	10	9	4	1	3	3	0	0	1	2
CNTN6	81	46	16	17	8	11	32	27	28	61	32	15	49	46	19	12	87	65
CNTN4	292	280	34	44	185	187	63	66	86	104	104	74	291	290	23	24	148	146
CNTN4-AS2	2	0	0	0	2	0	1	0	0	0	0	0	5	6	0	0	2	0
IL5RA	96	95	9	14	22	18	23	34	29	32	3	0	26	25	0	2	8	7
TRNT1	215	264	169	184	272	232	354	343	269	360	294	234	356	307	317	276	375	258
CRBN	626	583	461	482	645	622	777	644	586	821	720	465	942	828	612	573	862	626
LRRN1	1232	1262	533	563	694	677	1778	1676	1620	2082	1190	965	915	805	1049	960	1215	897
SETMAR	324	306	318	347	382	345	279	320	251	315	277	205	366	304	144	167	238	162
SUMF1	209	173	61	55	71	69	220	207	148	229	132	114	107	99	192	232	268	246
ITPR1-AS1	18	18	4	8	18	26	9	17	7	11	14	12	37	37	4	3	12	20
ITPR1	526	542	136	112	301	296	289	347	431	611	198	151	449	477	166	176	308	248
EGOT	11	4	0	0	0	3	2	0	0	2	0	0	4	3	1	0	1	0
BHLHE40-AS1	15	2	0	0	4	2	2	0	1	4	1	3	2	1	1	2	4	0
BHLHE40	1562	1556	594	683	959	912	1230	1150	1518	1863	632	575	733	690	1065	1107	650	498
ARL8B	1183	1160	758	834	1055	1079	1175	1126	1010	1196	1011	732	1614	1392	932	924	1254	1016
EDEM1	492	490	347	337	506	544	589	542	481	627	527	441	530	492	521	587	557	423
MIR4790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927347	0	1	0	1	1	7	2	3	2	3	2	1	0	1	2	3	2	0
GRM7	180	179	17	24	77	89	83	128	96	117	94	80	159	161	22	28	95	99
LOC101927394	5	10	6	6	8	4	9	7	6	12	6	2	7	8	3	1	6	4
LMCD1-AS1	20	13	4	8	4	8	31	27	15	32	20	21	12	21	9	23	19	20
LMCD1	122	110	149	171	117	138	137	153	119	150	75	60	102	103	69	67	124	89
LINC00312	7	1	6	8	5	8	11	14	13	18	5	6	10	2	2	7	8	8
SSUH2	28	29	2	5	1	3	62	73	54	73	38	29	3	5	73	97	32	36
CAV3	42	28	228	226	193	249	83	96	4	3	23	23	28	25	2	1	4	1
OXTR	35	30	23	27	43	51	39	39	25	52	49	16	33	34	15	14	22	24
RAD18	222	211	222	225	278	304	304	304	358	387	423	287	305	261	546	517	558	395
SRGAP3	1937	2020	1137	1217	1903	1988	1119	1382	1190	1728	1372	1038	1708	1714	267	263	894	752
SRGAP3-AS3	4	3	9	8	13	17	2	6	4	4	6	2	12	10	3	0	5	6
THUMPD3	795	811	629	686	838	791	1165	1140	957	1295	1042	763	1014	959	1121	1121	1171	988
THUMPD3-AS1	346	350	247	266	367	353	370	349	289	438	384	274	483	362	223	238	351	268
SETD5	2525	2680	2611	2811	3991	3769	2674	2785	2521	3297	3160	2480	3371	3290	1791	1888	2630	2140
LHFPL4	933	828	661	634	1067	1068	299	286	348	484	609	422	1006	864	115	148	613	533
MTMR14	491	506	387	431	511	546	684	659	565	699	551	483	470	464	695	841	753	678
CPNE9	83	86	23	21	29	17	10	17	9	20	30	21	62	66	37	37	63	72
BRPF1	499	506	483	506	689	773	468	531	480	600	494	393	511	492	397	447	451	386
OGG1	430	454	298	354	382	465	408	426	303	436	328	263	437	411	220	245	339	251
CAMK1	304	322	215	244	354	392	345	349	284	340	341	217	500	460	118	166	311	194
TADA3	1208	1131	1197	1227	1354	1336	1428	1345	1165	1385	1331	992	1318	1185	778	981	1120	889
ARPC4	1266	1146	794	925	1122	1095	1413	1204	1220	1431	1084	846	1463	1261	1212	1401	1447	1056
ARPC4-TTLL3	6	1	2	2	3	4	0	0	2	1	7	1	3	0	0	3	4	4
TTLL3	126	154	82	81	122	113	76	85	57	74	91	70	126	90	22	22	38	45
RPUSD3	317	291	273	297	323	321	462	401	311	386	391	285	343	315	453	593	555	461
CIDEC	11	10	0	0	0	2	21	25	1	4	0	2	0	0	0	0	1	1
JAGN1	374	333	263	286	280	273	399	323	312	363	280	211	395	325	303	310	408	311
IL17RE	56	65	20	18	21	21	51	44	16	30	20	14	21	17	24	32	27	15
IL17RC	330	323	179	167	191	154	253	276	178	212	148	110	199	188	89	110	153	142
CRELD1	782	771	636	666	899	910	711	679	560	752	734	562	1071	1036	294	418	579	523
PRRT3	256	222	128	130	144	159	153	160	154	191	126	127	150	141	65	90	202	139
PRRT3-AS1	4	2	1	7	5	3	1	3	0	4	3	3	5	6	0	1	1	2
EMC3	674	682	452	526	582	593	694	730	531	736	546	408	854	769	512	539	627	522
EMC3-AS1	83	88	103	99	128	108	117	106	121	160	144	136	92	90	150	132	157	123
LOC401052	29	37	9	13	24	28	41	61	22	36	35	21	35	30	11	19	29	25
CIDECP	123	125	83	117	167	133	116	115	103	112	124	57	229	181	81	110	124	116
FANCD2	243	210	256	297	343	310	517	512	584	704	638	469	169	172	1190	1068	969	855
FANCD2OS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
BRK1	3024	3011	3048	3260	3794	3620	3277	3241	2603	3395	3120	2166	4207	3647	2348	2454	2945	2472
VHL	1715	1772	1232	1287	1929	1894	1648	1615	1508	1912	1694	1193	1779	1605	1160	1220	1452	1044
IRAK2	49	49	39	36	76	72	33	38	36	45	46	33	91	83	22	35	48	19
TATDN2	1106	1153	750	772	1307	1194	816	763	829	1099	853	670	1219	1047	496	482	775	630
GHRLOS	8	24	14	7	16	17	12	12	18	17	19	19	18	19	30	34	20	42
LINC00852	7	13	15	7	8	4	5	7	14	12	11	7	3	2	8	9	18	11
GHRL	9	13	1	0	5	2	22	29	2	5	8	3	2	1	6	6	8	2
SEC13	1317	1422	1330	1319	1443	1327	1800	1588	1197	1528	1329	963	1848	1691	1125	1231	1589	1294
ATP2B2	1483	1489	556	574	868	919	504	512	947	1296	377	302	937	880	56	51	321	239
MIR885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00606	1	0	0	0	0	0	0	2	2	1	0	1	0	0	0	0	1	0
SLC6A11	448	430	113	103	160	191	146	147	233	302	169	115	487	447	14	22	338	278
SLC6A1	714	708	272	291	420	415	219	205	238	356	244	173	739	743	26	18	505	344
SLC6A1-AS1	6	6	0	6	2	3	0	0	0	2	1	1	0	6	0	0	4	0
HRH1	46	48	13	14	16	22	22	23	28	18	10	22	35	46	1	4	37	27
ATG7	300	309	172	202	233	255	408	347	312	407	284	227	290	241	359	353	411	296
VGLL4	1094	1155	748	754	1026	963	714	680	865	1189	639	492	1074	980	332	317	531	465
TAMM41	173	142	139	148	201	146	164	154	152	188	194	126	192	163	214	177	231	202
SYN2	360	321	93	117	229	190	89	95	117	160	206	154	423	428	56	49	324	228
TIMP4	25	29	0	17	9	7	35	33	38	45	32	37	42	44	59	88	77	74
PPARG	48	45	3	10	1	8	65	49	1	3	3	1	6	11	5	12	15	16
TSEN2	216	203	152	177	235	206	198	199	168	248	201	113	225	141	207	204	229	143
MKRN2OS	25	15	8	9	18	16	13	11	6	12	8	9	29	34	10	4	7	10
MKRN2	946	899	746	827	1008	938	1107	1141	851	1099	916	663	1210	1100	691	711	1061	760
RAF1	2039	1890	1801	1897	2690	2502	1915	1820	1745	2182	1985	1435	2631	2457	1476	1468	1926	1583
TMEM40	11	8	2	2	1	3	21	30	1	0	1	0	0	2	4	6	6	1
CAND2	383	404	309	322	501	407	259	287	234	314	274	207	300	312	118	150	199	201
RPL32	9854	9763	14964	16671	14831	14522	15617	13988	10644	13291	14464	11304	17213	15678	12861	13986	14793	12015
SNORA7A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IQSEC1	1601	1660	949	1001	1628	1583	1135	1169	1147	1487	1126	873	1516	1603	434	589	1059	900
NUP210	634	670	522	451	556	597	921	1073	801	1016	834	636	456	447	848	1090	908	853
HDAC11	515	464	303	367	426	409	406	427	355	424	250	182	407	388	152	210	303	268
FBLN2	503	518	506	532	526	511	250	223	196	232	277	178	478	444	357	447	647	529
LINC00620	1	2	0	2	0	0	1	0	0	2	1	3	1	6	4	1	1	1
WNT7A	99	130	106	136	223	193	619	575	347	427	458	378	179	189	118	119	236	188
FGD5P1	0	0	2	0	3	1	0	2	0	0	3	1	0	0	2	1	2	0
TPRXL	0	0	0	0	1	1	0	0	0	0	1	0	0	3	0	2	0	1
CHCHD4	138	123	111	136	136	139	234	212	195	211	204	132	241	193	320	347	332	243
TMEM43	1196	1133	715	747	1035	983	1028	1095	902	1173	878	682	1281	1206	680	735	1026	885
XPC	1008	1010	728	762	878	912	1326	1313	1109	1275	991	668	988	977	983	1047	1290	1031
LSM3	1083	966	1394	1453	1396	1431	1407	1306	1239	1527	1262	1025	1616	1477	1770	1819	1658	1360
LINC01267	0	0	2	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0
SLC6A6	524	543	415	379	783	790	359	379	465	596	510	386	740	694	635	714	671	547
GRIP2	308	254	272	270	366	345	145	143	128	200	290	240	290	268	206	202	363	282
CCDC174	434	417	432	417	590	550	461	450	387	501	404	330	669	565	404	413	510	396
C3orf20	9	10	3	3	12	2	4	2	2	10	8	2	4	12	0	5	4	2
FGD5	48	51	39	33	15	15	79	51	44	54	74	57	63	59	230	272	245	211
FGD5-AS1	2996	3030	1978	1867	2731	2798	2383	2218	2260	2975	2329	1667	3236	2715	1691	1634	2341	1811
NR2C2	1423	1498	770	718	1253	1358	899	978	889	1249	1065	757	1303	1254	618	594	943	730
MRPS25	799	854	449	511	723	673	900	841	771	1107	926	706	906	757	891	954	1260	960
ZFYVE20	1317	1344	1007	1144	1764	1644	1172	1044	1098	1426	1211	857	1677	1456	573	603	843	682
COL6A4P1	0	0	0	0	0	0	1	2	0	7	1	1	0	0	7	10	6	8
CAPN7	687	699	435	477	632	586	716	657	714	841	513	353	801	703	395	375	572	435
SH3BP5-AS1	100	109	48	46	72	78	62	56	49	75	52	37	78	99	40	34	66	40
SH3BP5	567	559	244	337	470	436	225	202	224	363	213	175	539	567	59	74	332	271
METTL6	248	268	159	206	318	255	346	326	292	378	349	214	341	297	239	241	336	235
EAF1	626	674	601	584	866	812	735	746	689	945	732	573	908	881	615	629	816	688
COLQ	321	349	95	103	134	146	130	101	196	197	86	51	140	108	25	17	69	34
MIR4270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HACL1	356	348	303	366	340	315	355	397	365	430	365	276	361	315	607	657	656	598
BTD	193	219	121	122	105	132	112	127	128	142	108	61	142	160	93	99	182	136
ANKRD28	719	712	396	426	701	681	702	660	759	1126	690	515	745	659	990	952	1106	805
MIR563	0	0	0	0	0	2	0	2	1	0	0	0	1	0	1	0	0	0
GALNT15	105	89	75	79	92	94	95	92	84	110	77	61	238	187	11	7	75	53
DPH3	380	412	305	364	449	381	533	489	447	581	456	314	600	450	485	530	584	428
OXNAD1	217	178	146	137	189	148	300	254	217	333	270	159	249	233	465	489	468	315
RFTN1	678	691	204	243	285	278	403	407	434	433	223	136	408	381	125	130	304	296
LINC00690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAZL	0	1	3	5	0	1	241	201	171	269	229	144	2	1	86	71	66	32
PLCL2	670	666	599	610	863	912	523	561	485	587	569	474	948	829	240	244	401	314
MIR3714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D5	983	961	626	594	781	790	933	1001	814	1131	846	584	1160	975	685	706	1083	946
LOC339862	17	11	13	4	10	12	5	12	18	18	17	13	8	4	40	38	54	40
SATB1	792	761	486	445	591	602	441	463	540	666	464	311	891	803	218	215	447	353
KCNH8	105	125	36	51	58	42	102	104	80	90	91	74	94	73	27	27	125	82
MIR4791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFHB	69	66	9	8	15	14	58	52	41	52	14	6	21	25	9	14	17	17
RAB5A	1192	1228	778	924	1312	1242	1388	1342	1285	1571	1317	883	1891	1563	1484	1421	1951	1394
PP2D1	7	17	10	5	15	18	5	5	10	22	21	8	14	12	14	7	16	6
KAT2B	388	420	151	137	204	210	358	321	330	377	226	142	438	371	102	98	278	208
SGOL1	61	76	143	136	141	113	121	146	153	181	178	124	54	42	220	247	217	159
SGOL1-AS1	0	0	0	1	0	0	2	1	1	1	1	0	0	2	0	0	1	0
LOC101927829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VENTXP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF385D	118	115	47	56	119	110	60	55	50	67	89	61	184	176	17	21	117	82
UBE2E2	458	448	306	266	359	343	621	611	482	582	569	450	638	594	757	769	1132	871
MIR548AC	0	0	0	0	0	2	1	2	1	1	2	0	3	0	1	0	0	0
UBE2E1	1195	1251	973	1109	1256	1262	1671	1207	1324	1790	1389	881	1841	1520	1522	1477	1827	1346
NKIRAS1	251	279	179	154	248	255	219	225	199	247	196	180	384	302	127	140	250	208
RPL15	21754	21552	30702	32090	32969	31746	30263	25583	23663	29035	29201	19926	39381	32798	26911	28090	33901	25355
NR1D2	493	457	271	269	404	361	637	582	575	712	550	421	669	569	645	601	855	635
LINC00691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THRB	125	121	47	37	28	23	76	100	109	121	22	21	85	66	86	69	94	94
THRB-AS1	5	0	1	0	2	0	1	0	3	3	0	0	1	0	0	0	1	3
MIR4792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RARB	204	188	103	94	118	114	233	209	187	277	191	127	178	192	410	396	364	288
TOP2B	6669	6691	6295	6677	8858	8334	5499	5432	5836	7738	5938	4280	7718	7018	3281	3107	5166	3842
MIR4442	291	243	202	185	319	266	179	149	186	180	106	123	266	169	65	54	98	94
NGLY1	611	548	426	476	499	509	708	698	648	837	566	403	684	568	726	717	802	596
OXSM	127	117	106	110	168	123	127	150	94	145	95	77	177	181	120	111	131	115
LINC00692	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
LRRC3B	371	398	673	566	613	675	123	106	123	185	275	171	615	507	20	26	208	162
NEK10	72	67	11	14	16	21	68	54	46	47	11	6	27	32	7	5	19	21
SLC4A7	540	571	538	604	796	781	889	866	802	981	795	628	704	635	937	959	1100	780
EOMES	1076	1004	1926	2075	2125	2000	320	303	493	650	801	641	869	767	33	54	144	118
CMC1	165	166	214	248	212	193	293	259	213	251	236	165	265	205	295	266	329	258
AZI2	739	718	506	575	749	709	662	626	580	787	573	412	921	832	391	387	700	537
ZCWPW2	12	23	13	10	12	13	15	21	5	20	7	5	15	12	9	8	11	9
LINC00693	29	25	16	8	9	16	17	17	6	25	16	13	38	19	11	14	48	21
RBMS3-AS3	9	8	1	3	1	3	3	8	4	2	2	2	3	3	4	8	3	2
RBMS3	208	217	116	140	130	166	141	166	151	206	85	38	207	217	56	72	154	137
RBMS3-AS1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
TGFBR2	305	299	143	112	147	157	240	194	157	149	82	71	136	150	122	183	149	124
GADL1	1	0	4	5	11	11	2	3	4	7	4	1	16	9	1	4	2	0
STT3B	1529	1411	1146	1149	1682	1562	1776	1876	1715	2223	1508	1129	1962	1706	1532	1447	1891	1435
OSBPL10	206	179	123	144	180	204	269	221	346	448	323	256	194	212	466	460	473	390
OSBPL10-AS1	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	2	0
ZNF860	10	20	5	4	5	11	2	4	9	8	8	5	4	5	9	14	15	9
GPD1L	517	583	647	657	869	822	313	272	329	478	392	322	789	739	113	129	275	190
CMTM8	35	46	40	34	31	21	95	110	45	63	55	38	27	37	61	56	57	44
CMTM7	92	100	27	26	21	13	302	299	161	221	240	231	78	73	231	296	219	203
CMTM6	711	754	437	458	519	460	1350	1212	1035	1348	1035	772	664	558	1541	1442	1663	1288
DYNC1LI1	1425	1296	1495	1520	1974	1889	1583	1553	1400	1872	1798	1342	2401	2189	1279	1208	1737	1327
CNOT10	481	539	390	445	498	457	580	542	514	666	441	320	492	425	493	499	531	477
TRIM71	30	34	15	22	36	31	473	568	544	736	400	343	29	25	854	951	832	719
CCR4	4	4	3	1	2	5	1	5	4	1	2	2	1	7	4	4	3	4
GLB1	1124	1266	581	555	671	645	1097	1094	919	1129	633	530	972	860	811	863	1073	827
TMPPE	27	29	14	16	43	28	37	34	37	43	20	30	39	27	36	39	34	29
CRTAP	2165	2073	2243	2416	2177	2385	1907	2058	1573	2133	1843	1352	2563	2286	1488	1705	2134	1824
SUSD5	82	88	14	14	21	24	40	26	67	80	20	8	37	23	43	60	52	44
FBXL2	688	725	266	305	468	507	318	300	363	399	314	251	615	563	105	95	328	277
UBP1	1026	993	683	699	1179	1224	1187	1126	1180	1345	1390	900	1125	1008	1195	1126	1360	995
CLASP2	4426	4452	3186	3293	5656	5448	2704	2704	2921	4008	3775	2686	7962	6661	1261	1209	3902	3091
PDCD6IP	1367	1449	796	806	1282	1267	1764	1653	1571	1939	1572	1088	1250	1090	1869	1679	1644	1324
LOC101928135	2	5	0	0	2	1	1	1	2	2	1	0	0	1	0	0	0	0
ARPP21	538	537	580	617	1397	1375	261	273	299	419	775	625	1569	1378	23	25	182	141
MIR128-2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAC	154	169	80	67	103	102	103	76	187	234	79	64	150	125	44	56	114	77
DCLK3	79	68	21	28	76	84	38	40	40	65	84	39	97	73	84	70	111	69
TRANK1	268	281	98	41	70	81	135	180	129	122	94	95	180	170	363	390	407	399
EPM2AIP1	1437	1453	966	854	1580	1512	1134	1073	1116	1444	1077	820	2121	1793	421	326	992	784
MLH1	794	728	562	606	646	630	944	981	784	981	832	578	826	818	881	878	831	766
LRRFIP2	635	680	495	503	628	616	775	656	531	671	602	436	756	658	570	619	681	624
GOLGA4	1582	1688	1094	1227	1691	1635	2187	1990	1742	2275	1603	1214	2226	1886	2054	1940	2484	1821
C3orf35	14	12	13	20	26	29	11	11	12	23	20	8	22	17	15	20	13	8
ITGA9	147	136	76	85	80	108	157	175	80	104	72	63	95	67	188	173	182	175
ITGA9-AS1	44	32	29	40	33	37	44	38	32	27	29	18	28	32	20	24	24	26
CTDSPL	451	384	383	421	599	549	539	551	450	623	557	429	411	335	876	933	825	692
MIR26A1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
VILL	76	65	51	33	28	36	72	80	25	35	35	22	39	28	42	43	42	35
PLCD1	702	684	868	1004	789	828	2148	2185	1334	1649	1851	1424	985	982	1209	1390	1274	1052
DLEC1	144	122	26	18	52	50	95	99	72	60	26	33	37	39	45	33	33	24
ACAA1	598	560	428	489	602	529	641	496	449	582	555	403	707	616	517	597	718	567
MYD88	140	89	73	75	72	95	143	154	128	116	132	117	114	91	195	239	166	121
OXSR1	1106	1205	878	906	1371	1380	1616	1560	1632	2047	1577	1183	1368	1359	1331	1424	1649	1257
SLC22A13	2	3	0	0	1	2	1	0	1	1	0	2	4	2	0	3	2	0
SLC22A14	2	1	1	3	4	4	1	0	2	5	1	2	1	5	0	0	0	1
XYLB	84	78	21	24	40	31	49	68	71	83	30	21	21	24	41	46	56	50
ACVR2B-AS1	22	17	20	25	25	26	25	24	33	27	22	16	16	28	13	15	20	19
ACVR2B	947	1027	781	824	1227	1352	1688	1769	1721	2363	1760	1315	1200	1132	1471	1437	1828	1484
EXOG	208	214	146	155	269	242	237	219	189	254	214	173	227	234	140	119	162	130
SCN5A	96	97	117	106	124	123	37	57	80	99	62	38	99	74	31	40	74	61
SCN10A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SCN11A	13	6	10	8	10	7	10	12	7	11	3	0	6	9	5	2	4	7
WDR48	1474	1416	1180	1104	1705	1671	1360	1285	1353	1651	1423	1038	1903	1633	916	908	1377	975
GORASP1	936	940	528	625	728	730	829	771	652	795	722	496	923	811	489	458	709	513
TTC21A	185	155	109	94	140	111	138	161	99	129	81	69	153	97	36	48	74	71
MIR6822	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1
CSRNP1	435	374	282	257	296	329	234	245	242	253	174	114	384	295	203	181	186	181
XIRP1	21	19	34	36	43	42	21	24	1	3	9	0	4	6	3	0	3	1
CX3CR1	4	1	5	2	4	1	5	1	0	1	5	2	9	1	2	5	2	0
CCR8	0	0	0	2	0	0	12	7	6	8	19	9	0	1	54	63	32	37
SLC25A38	596	554	514	482	587	553	607	636	583	723	625	429	766	686	759	805	847	791
RPSA	15127	13685	26493	27732	22987	21776	25912	24887	20336	24847	26087	19463	24282	22206	41052	42807	40474	34027
SNORA6	6	5	9	0	9	3	14	11	15	7	8	3	9	7	9	11	17	9
SNORA62	8	5	4	12	7	14	14	7	8	18	5	15	9	10	10	16	13	9
MOBP	13	20	6	3	1	6	11	8	7	13	8	4	9	1	102	89	59	34
MYRIP	87	88	34	33	43	29	30	34	37	47	46	46	125	133	15	15	48	31
EIF1B-AS1	18	16	5	7	7	10	24	20	24	19	15	14	8	14	12	13	12	6
EIF1B	1387	1373	1869	2069	2720	2640	1775	1718	1516	2047	2166	1636	3274	2944	1500	1399	1780	1435
ENTPD3	31	35	5	3	4	13	12	12	14	20	2	10	38	30	1	2	26	20
ENTPD3-AS1	35	50	18	14	21	34	39	35	41	42	20	15	47	40	21	23	29	23
RPL14	13207	13238	18856	20486	19587	18965	20752	19731	14577	18031	20046	14958	20181	19490	20379	23452	22201	18759
ZNF619	97	102	64	66	91	99	108	104	77	118	91	69	98	100	77	81	120	87
ZNF620	150	137	122	115	154	161	169	174	154	254	173	113	147	141	156	139	190	156
ZNF621	538	566	281	270	470	395	550	561	448	655	490	364	414	379	328	314	420	315
CTNNB1	7809	7457	4403	4860	5575	5295	9492	9122	7185	9693	6950	5048	7795	7018	6985	7207	9276	7335
ULK4	104	123	49	44	44	53	147	136	95	167	80	55	113	86	148	135	159	119
TRAK1	1857	1841	1247	1273	1887	1828	1589	1555	1381	1805	1576	1294	2039	1917	1055	1188	1496	1276
CCK	89	81	50	67	50	42	155	111	100	117	30	32	65	59	27	24	54	46
LYZL4	3	1	0	1	4	5	2	1	2	3	0	0	3	1	1	0	0	2
VIPR1	35	39	7	4	9	7	34	39	6	8	8	4	10	20	2	9	15	7
SEC22C	914	944	724	847	1027	934	763	722	664	951	845	561	1133	966	404	380	667	534
SS18L2	291	264	301	403	567	470	463	378	356	458	561	371	594	513	438	453	483	408
NKTR	1588	1612	1281	1370	2579	2470	1586	1516	1438	2089	2037	1465	2213	2081	1176	1026	1488	1237
ZBTB47	698	645	282	324	421	465	284	312	274	379	277	172	502	549	28	50	246	200
KLHL40	9	11	142	148	115	108	39	34	3	0	13	12	18	10	1	0	3	0
HHATL	12	14	9	6	6	3	12	9	0	2	3	1	3	4	0	2	6	3
CCDC13	168	161	69	64	68	81	86	89	106	159	25	24	91	63	13	13	26	29
CCDC13-AS1	1	2	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0
HIGD1A	2014	2019	2035	2211	2317	2197	3804	3406	2880	3512	3291	2316	3339	2687	3314	3245	3789	2853
ACKR2	7	6	4	0	2	2	2	6	10	6	3	2	0	3	1	3	3	3
CYP8B1	1	1	0	0	1	2	0	1	0	1	1	0	0	0	0	0	0	0
ZNF662	38	39	12	3	11	15	13	13	7	8	10	8	16	14	51	37	62	58
KRBOX1	2	1	0	0	1	1	2	0	1	0	0	1	0	0	13	5	4	2
FAM198A	58	61	23	16	8	13	18	30	50	69	7	4	40	43	23	19	35	26
POMGNT2	700	598	442	524	505	550	410	410	383	523	385	270	701	613	163	197	413	336
SNRK	348	352	199	236	400	344	238	204	247	337	316	178	475	413	151	149	298	212
SNRK-AS1	8	4	1	0	5	1	4	6	11	8	5	3	5	3	1	3	2	4
ANO10	659	630	386	433	465	498	1067	991	733	885	971	652	836	851	1001	1000	1298	1065
ABHD5	411	349	193	219	317	326	535	493	389	491	374	270	561	486	313	290	383	338
MIR138-1	0	0	1	0	0	0	2	1	1	2	0	0	0	0	0	0	2	0
TOPAZ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1
TCAIM	425	493	297	307	395	343	470	444	412	484	334	235	435	377	212	178	304	241
ZNF445	1372	1425	934	1072	1815	1796	973	1033	1179	1553	1304	1010	1568	1400	592	629	1027	836
ZNF852	57	79	35	39	75	79	68	78	76	103	74	32	72	56	38	48	63	50
ZKSCAN7	269	281	124	122	235	220	211	183	169	246	161	139	185	216	47	60	121	116
ZNF660	71	74	41	33	42	62	76	82	97	124	57	44	48	50	64	42	82	54
ZNF197	623	649	539	560	878	859	583	647	566	775	618	471	957	801	285	257	523	415
ZNF35	133	128	95	134	123	125	152	145	102	173	112	91	152	137	128	120	124	113
ZNF502	166	180	105	141	186	177	169	146	141	171	143	155	132	164	128	97	151	131
ZNF501	156	141	143	154	196	184	179	188	140	197	179	127	168	171	131	114	163	133
KIAA1143	757	779	615	708	984	951	1072	991	998	1247	951	705	1249	1030	1145	1176	1199	953
KIF15	243	240	557	530	547	504	547	480	563	785	547	427	182	169	534	498	568	470
MIR564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM42	263	248	223	271	261	279	262	219	214	234	215	156	395	323	185	191	315	290
TGM4	1	0	0	1	1	0	4	6	0	1	3	1	0	0	1	1	1	2
ZDHHC3	969	957	649	634	933	928	926	891	866	1074	946	698	1032	937	822	989	1078	906
EXOSC7	573	576	585	695	749	610	996	989	771	1083	937	679	710	744	1032	1088	1232	925
CLEC3B	17	15	11	26	21	26	20	6	8	10	10	7	2	12	1	1	11	2
CDCP1	156	155	13	18	14	11	118	100	110	152	41	35	40	29	152	129	123	103
TMEM158	593	500	531	382	548	561	273	247	251	228	287	279	381	388	77	131	207	205
LARS2	899	731	401	439	524	446	954	963	722	969	708	504	599	599	719	767	801	644
LARS2-AS1	1	2	1	3	6	5	2	3	2	1	4	1	1	4	5	0	1	0
LIMD1	334	344	205	241	322	342	290	306	368	436	292	208	187	172	244	266	246	214
LIMD1-AS1	5	4	12	9	9	6	7	5	2	5	11	1	19	10	5	4	6	12
SACM1L	649	605	421	440	673	644	822	776	701	879	670	540	722	663	881	900	1046	764
SLC6A20	325	310	38	34	43	20	122	108	299	393	14	4	115	122	26	45	38	64
LZTFL1	591	676	253	283	341	326	507	447	595	763	285	221	463	385	283	238	417	303
CCR9	3	3	3	0	1	1	2	0	0	3	0	0	4	2	1	1	3	1
FYCO1	355	381	189	171	170	206	333	363	267	375	236	156	228	201	312	280	306	267
